locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Veterans Convenience Store,145 N Spruce St,Colorado Springs,CO,80905,ATMP333155,<MISSING>,38.836793,-104.832129,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,350 N Union Blvd,Colorado Springs,CO,80909,ATMWG005547,<MISSING>,38.837676,-104.795526,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Broadmoor - Skyway,1521 S 8th St,Colorado Springs,CO,80905,BRCH06180042,719-471-1300,38.812210,-104.840250,9:00am - 5:00pm Mon - Thu 9:00am - 6:00pm Fri,USA,branch
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Broadmoor/Skyway,1521 S 8th St,Colorado Springs,CO,80905,ATMKB1930,<MISSING>,38.812267,-104.840480,24 Hour Access,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,625 N 19th St,Colorado Springs,CO,80904,ATMWA517777,<MISSING>,38.848579,-104.849459,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,1855 Southgate Rd,Colorado Springs,CO,80906,ATMWG009767,<MISSING>,38.806525,-104.820736,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Safeway,1920 S Nevada Ave,Colorado Springs,CO,80906,ATMSW510007,<MISSING>,38.806240,-104.823414,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Veteran's Convenience Store,1910 E Fountain Blvd,Colorado Springs,CO,80910,ATMP436026,<MISSING>,38.817742,-104.791647,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Safeway,2210 N Wahsatch Ave,Colorado Springs,CO,80907,ATMSW510039,<MISSING>,38.864547,-104.817317,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,303 S Circle Dr,Colorado Springs,CO,80910,ATMWG005794,<MISSING>,38.825995,-104.779376,12:00am - 12:00am Sun-Sat,USA,ATM
